iter	MultiClass
0	1.0535197
1	1.012148176
2	0.9740170889
3	0.9387338267
4	0.9059708945
5	0.8754570408
6	0.8469595054
7	0.8202766838
8	0.7952470024
9	0.7717182161
10	0.7495560576
11	0.7286548341
12	0.7089103014
13	0.6902236499
14	0.6725354667
15	0.6557544593
16	0.639829366
17	0.6246996421
18	0.610305739
19	0.5966108408
20	0.5835587046
21	0.5711284545
22	0.5592601344
23	0.5479411101
24	0.5371209803
25	0.5267855259
26	0.5168932666
27	0.5074273116
28	0.4983517505
29	0.4896605153
30	0.4813120352
31	0.4733302202
32	0.4656504499
33	0.4582428822
34	0.4511443329
35	0.444315088
36	0.4377607626
37	0.4314482995
38	0.4253873441
39	0.4195732321
40	0.4139435168
41	0.4085661697
42	0.4033778382
43	0.3984006664
44	0.3937201957
45	0.3865295387
46	0.3796922558
47	0.3731834862
48	0.3669827842
49	0.3610717643
50	0.3554324035
51	0.3496584585
52	0.3441447837
53	0.3392739615
54	0.334221052
55	0.3299221902
56	0.3252657201
57	0.3208074584
58	0.3165393671
59	0.3126097969
60	0.3088469852
61	0.3050651316
62	0.3014306777
63	0.2981090007
64	0.2949219986
65	0.2916428435
66	0.2884889893
67	0.2856888943
68	0.2830021906
69	0.2804345387
70	0.2778142214
71	0.2752246067
72	0.2727309037
73	0.2702627182
74	0.268087249
75	0.2657983205
76	0.2637581601
77	0.2616394091
78	0.2597599845
79	0.257772512
80	0.2560396946
81	0.2541489036
82	0.2523962517
83	0.2506882273
84	0.2491869472
85	0.2477388759
86	0.2461840248
87	0.2446214528
88	0.2431525962
89	0.2417203743
90	0.2405035688
91	0.2391836062
92	0.23788341
93	0.2366173354
94	0.2353286641
95	0.2341718373
96	0.2330965218
97	0.231469669
98	0.2299274069
99	0.2284625126
100	0.22707082
101	0.2257463743
102	0.2244493254
103	0.2232421201
104	0.2220915198
105	0.2209633805
106	0.2197308387
107	0.2187195776
108	0.2175792342
109	0.2165920415
110	0.2156497707
111	0.2147220133
112	0.213852197
113	0.2130156191
114	0.2122765831
115	0.2115080219
116	0.2107636424
117	0.2100363577
118	0.2093426058
119	0.2086821603
120	0.2080406435
121	0.2074252557
122	0.2068604728
123	0.2062714629
124	0.2056101344
125	0.2051324554
126	0.2045803974
127	0.2040864388
128	0.2033912831
129	0.2029446916
130	0.2025517391
131	0.2021222423
132	0.2017578188
133	0.2011381969
134	0.200736482
135	0.2004110254
136	0.19983748
137	0.199290856
138	0.1989332251
139	0.1984209717
140	0.1981281423
141	0.1976465236
142	0.1973260256
143	0.1969821611
144	0.196696645
145	0.1964213405
146	0.195988923
147	0.1956313147
148	0.1953736031
149	0.1949234342
150	0.1944940053
151	0.1941058982
152	0.1937064701
153	0.1933293444
154	0.1930957918
155	0.1928159137
156	0.1924992648
157	0.1923278646
158	0.1920713757
159	0.1918797788
160	0.1917253827
161	0.1914179719
162	0.1911233537
163	0.1908153315
164	0.1904990676
165	0.1902080042
166	0.1899142578
167	0.1896415685
168	0.1893674753
169	0.1891218998
170	0.1888591503
171	0.188606669
172	0.1883652483
173	0.1881520396
174	0.1879420687
175	0.1877250448
176	0.1875106248
177	0.1873126768
178	0.1871333179
179	0.186956427
180	0.1867805098
181	0.1865963734
182	0.1863746853
183	0.186172424
184	0.1859492981
185	0.1857252325
186	0.1855498133
187	0.1853821264
188	0.185147838
189	0.1849657621
190	0.1847962298
191	0.1845945912
192	0.1844450519
193	0.1842786782
194	0.1841187576
195	0.1839464064
196	0.1838146524
197	0.1836536562
198	0.1835143398
199	0.1834026466
200	0.183255281
201	0.1831380065
202	0.1829784595
203	0.1828422563
204	0.1827005625
205	0.1825462457
206	0.1824289486
207	0.1822888397
208	0.1821804863
209	0.1820611401
210	0.1819516998
211	0.1818445238
212	0.1816960373
213	0.181568891
214	0.1814445183
215	0.1813324176
216	0.1812461061
217	0.1811496624
218	0.1810686266
219	0.1809419783
220	0.1808468139
221	0.1807235506
222	0.1805994836
223	0.1805171232
224	0.1804299401
225	0.1803510779
226	0.1802932954
227	0.1802150445
228	0.1801047099
229	0.1800298327
230	0.1799361513
231	0.1798653723
232	0.1797587623
233	0.1796846209
234	0.1796122909
235	0.1795453951
236	0.1794710726
237	0.1793899575
238	0.1792958685
239	0.1792167346
240	0.1791362195
241	0.17903347
242	0.1789653967
243	0.1788752814
244	0.1787944947
245	0.1787023869
246	0.1786421024
247	0.178567746
248	0.1784990161
249	0.1784395128
250	0.1783811304
251	0.1783235404
252	0.178267773
253	0.1781930317
254	0.1781304038
255	0.1780788253
256	0.1780186201
257	0.1779580526
258	0.1778826094
259	0.1778093511
260	0.1777317116
261	0.1776666044
262	0.1776350074
263	0.1775757985
264	0.1775246728
265	0.1774661205
266	0.1774295423
267	0.1774040926
268	0.1773497065
269	0.1773013657
270	0.1772537043
271	0.1772152807
272	0.1771713099
273	0.1770971346
274	0.1770533223
275	0.176992936
276	0.1769441084
277	0.1769090472
278	0.176819747
279	0.1767743271
280	0.1766878685
281	0.1766474298
282	0.1766097309
283	0.1765887757
284	0.176569779
285	0.1765139324
286	0.1764504555
287	0.1763912805
288	0.1763298187
289	0.1762779685
290	0.1762600586
291	0.1762224842
292	0.1761692754
293	0.1761161685
294	0.1760975001
295	0.1760569935
296	0.1759985092
297	0.1759469872
298	0.1758913104
299	0.1758539171
300	0.1758144634
301	0.1757836815
302	0.1757343446
303	0.1757009928
304	0.1756777055
305	0.1756077643
306	0.1755644161
307	0.1755429514
308	0.1754971013
309	0.1754704969
310	0.1754126805
311	0.1753970915
